DeclaredCounty/Area,State,DistinctDisasterNumbers,Latitude (generated),Longitude (generated)
Uinta,Wyoming,1,41.3156,-110.5477
Sweetwater,Wyoming,1,41.6405,-108.9887
Sublette,Wyoming,1,42.8671,-109.9565
Lincoln,Wyoming,1,42.4553,-110.8185
Wood,Wisconsin,1,44.4689,-90.0212
Winnebago,Wisconsin,1,44.0677,-88.6452
Waushara,Wisconsin,1,44.1173,-89.2418
Waupaca,Wisconsin,1,44.4525,-88.9801
Waukesha,Wisconsin,1,43.0181,-88.3044
Washington,Wisconsin,1,43.3686,-88.2293
Washburn,Wisconsin,1,45.9017,-91.7871
Walworth,Wisconsin,1,42.6678,-88.5413
Vilas,Wisconsin,1,46.0789,-89.4371
Vernon,Wisconsin,1,43.5769,-90.7714
Trempealeau,Wisconsin,1,44.2856,-91.3478
Taylor,Wisconsin,1,45.2065,-90.4856
St. Croix,Wisconsin,1,45.0351,-92.4543
Shawano,Wisconsin,1,44.8071,-88.7375
Sawyer,Wisconsin,1,45.902,-91.1097
Sauk,Wisconsin,1,43.3945,-89.8965
Rusk,Wisconsin,1,45.4691,-91.1092
Rock,Wisconsin,1,42.6692,-89.072
Richland,Wisconsin,1,43.3664,-90.4289
Price,Wisconsin,1,45.6691,-90.3605
Portage,Wisconsin,1,44.4745,-89.475
Polk,Wisconsin,1,45.4696,-92.4193
Pierce,Wisconsin,1,44.7034,-92.4259
Pepin,Wisconsin,1,44.5458,-92.0873
Outagamie,Wisconsin,1,44.419,-88.4637
Oneida,Wisconsin,1,45.6879,-89.5447
Oconto,Wisconsin,1,45.0268,-88.3037
Monroe,Wisconsin,1,43.9434,-90.6118
Menominee,Wisconsin,1,44.9899,-88.7347
Marquette,Wisconsin,1,43.8129,-89.3981
Marinette,Wisconsin,1,45.382,-88.1503
Marathon,Wisconsin,1,44.8951,-89.7693
Lincoln,Wisconsin,1,45.3385,-89.7354
Langlade,Wisconsin,1,45.2517,-89.0523
Lafayette,Wisconsin,1,42.6602,-90.1317
La Crosse,Wisconsin,1,43.9075,-91.1276
Kewaunee,Wisconsin,1,44.5033,-87.6245
Juneau,Wisconsin,1,43.9467,-90.1322
Jefferson,Wisconsin,1,43.0217,-88.7768
Jackson,Wisconsin,1,44.3311,-90.7417
Iron,Wisconsin,1,46.287,-90.2401
Iowa,Wisconsin,1,43.0094,-90.1334
Green Lake,Wisconsin,1,43.8078,-89.0268
Green,Wisconsin,1,42.6775,-89.6024
Grant,Wisconsin,1,42.8621,-90.7628
Forest,Wisconsin,1,45.729,-88.8616
Fond du Lac,Wisconsin,1,43.7377,-88.5229
Florence,Wisconsin,1,45.8674,-88.3756
Eau Claire,Wisconsin,1,44.7306,-91.286
Dunn,Wisconsin,1,44.9461,-91.8932
Douglas,Wisconsin,1,46.4537,-91.9223
Door,Wisconsin,1,44.9881,-87.267
Dodge,Wisconsin,1,43.413,-88.7032
Dane,Wisconsin,1,43.073,-89.4247
Crawford,Wisconsin,1,43.2104,-90.8849
Columbia,Wisconsin,1,43.4614,-89.3035
Clark,Wisconsin,1,44.7321,-90.6192
Chippewa,Wisconsin,1,45.0767,-91.2876
Calumet,Wisconsin,1,44.0612,-88.2235
Burnett,Wisconsin,1,45.8994,-92.363
Buffalo,Wisconsin,1,44.3147,-91.722
Brown,Wisconsin,1,44.4646,-87.9779
Bayfield,Wisconsin,1,46.5601,-91.2402
Barron,Wisconsin,1,45.4265,-91.8486
Ashland,Wisconsin,1,46.3491,-90.7366
Adams,Wisconsin,1,43.9464,-89.7748
Wyoming,West Virginia,1,37.6036,-81.5699
Summers,West Virginia,2,37.6488,-80.8773
Raleigh,West Virginia,1,37.7493,-81.1743
Pocahontas,West Virginia,1,38.3891,-79.9839
Pendleton,West Virginia,2,38.6854,-79.3411
Monroe,West Virginia,2,37.5557,-80.5468
Mineral,West Virginia,2,39.4433,-78.8643
Mercer,West Virginia,1,37.4167,-81.0766
Hardy,West Virginia,2,38.9993,-78.8269
Hampshire,West Virginia,2,39.3147,-78.6304
Greenbrier,West Virginia,2,37.976,-80.4033
Grant,West Virginia,2,39.0712,-79.1885
Fayette,West Virginia,1,38.0418,-81.0963
Yakima,Washington,1,46.5669,-120.6488
Whitman,Washington,1,46.8409,-117.522
Stevens,Washington,1,48.3997,-117.8489
Spokane,Washington,1,47.6423,-117.4305
Pend Oreille,Washington,1,48.5392,-117.2681
Lincoln,Washington,1,47.6123,-118.3998
Klickitat,Washington,1,45.8257,-120.7766
Kittitas,Washington,1,47.1679,-120.6629
Grant,Washington,1,47.284,-119.492
Franklin,Washington,1,46.4669,-118.9422
Ferry,Washington,1,48.4175,-118.5235
Douglas,Washington,1,47.6869,-119.7491
Chelan,Washington,1,47.9098,-120.5391
Benton,Washington,1,46.2826,-119.5709
Asotin,Washington,1,46.2299,-117.1874
Adams,Washington,1,46.9968,-118.4708
Wythe,Virginia,1,36.9145,-81.0571
Washington,Virginia,1,36.7615,-81.9556
Warren,Virginia,1,38.8968,-78.1977
Tazewell,Virginia,1,37.1358,-81.6058
Sussex,Virginia,1,36.9125,-77.2851
Stafford,Virginia,1,38.4174,-77.4766
Spotsylvania,Virginia,1,38.1861,-77.6566
Smyth,Virginia,1,36.823,-81.5102
Shenandoah,Virginia,2,38.8538,-78.5869
Russell,Virginia,1,36.9262,-82.0747
Rockingham,Virginia,2,38.5292,-78.9401
Rockbridge,Virginia,1,37.8101,-79.4404
Roanoke,Virginia,1,37.2655,-80.1509
Richmond,Virginia,1,37.9603,-76.7345
Rappahannock,Virginia,1,38.6922,-78.1291
Prince William,Virginia,1,38.7221,-77.4444
Prince George,Virginia,1,37.1589,-77.2486
Prince Edward,Virginia,2,37.2386,-78.4589
Powhatan,Virginia,2,37.5527,-77.8872
Pittsylvania,Virginia,2,36.8385,-79.3957
Patrick,Virginia,1,36.7075,-80.274
Page,Virginia,2,38.6265,-78.4806
Orange,Virginia,1,38.2553,-77.9908
Nottoway,Virginia,2,37.1384,-78.0695
New Kent,Virginia,1,37.5016,-76.9992
Nelson,Virginia,2,37.7921,-78.9043
Montgomery,Virginia,1,37.1748,-80.3743
Middlesex,Virginia,1,37.6405,-76.6329
Mecklenburg,Virginia,2,36.7165,-78.3332
Madison,Virginia,1,38.429,-78.2789
Lunenburg,Virginia,2,36.9432,-78.2456
Louisa,Virginia,1,37.941,-77.934
Lee,Virginia,1,36.7435,-82.9795
Lancaster,Virginia,1,37.7254,-76.4625
King William,Virginia,1,37.7166,-77.1211
King George,Virginia,1,38.2712,-77.1806
Highland,Virginia,1,38.3866,-79.5178
Henry,Virginia,1,36.6989,-79.9864
Henrico,Virginia,1,37.5317,-77.3031
Hanover,Virginia,2,37.7717,-77.5521
Halifax,Virginia,1,36.803,-78.9171
Greensville,Virginia,1,36.7217,-77.5729
Greene,Virginia,1,38.3303,-78.4797
Grayson,Virginia,2,36.6833,-81.2368
Goochland,Virginia,2,37.7345,-77.9668
Giles,Virginia,1,37.3145,-80.668
Frederick,Virginia,1,39.2372,-78.2234
Franklin,Virginia,2,37.0076,-79.8606
Fluvanna,Virginia,1,37.8456,-78.2738
Floyd,Virginia,1,36.9111,-80.4084
Fauquier,Virginia,1,38.7121,-77.8162
Essex,Virginia,1,37.9457,-76.9732
Dinwiddie,Virginia,2,37.0729,-77.6462
Cumberland,Virginia,2,37.526,-78.2218
Culpeper,Virginia,1,38.5056,-78.0018
Craig,Virginia,1,37.4878,-80.1897
Clarke,Virginia,1,39.1225,-77.9705
Chesterfield,Virginia,2,37.3899,-77.6298
Charlotte,Virginia,2,36.9742,-78.6045
Charles City,Virginia,1,37.3618,-77.0793
Caroline,Virginia,1,38.0149,-77.3703
Campbell,Virginia,2,37.2284,-79.0965
Buckingham,Virginia,2,37.5633,-78.5588
Brunswick,Virginia,2,36.7851,-77.8417
Botetourt,Virginia,1,37.5543,-79.7551
Bland,Virginia,1,37.1272,-81.0776
Bedford,Virginia,2,37.3125,-79.5652
Bath,Virginia,1,38.0555,-79.7352
Augusta,Virginia,2,38.1803,-79.3064
Appomattox,Virginia,2,37.3799,-78.7934
Amherst,Virginia,2,37.6,-79.1631
Amelia,Virginia,2,37.3461,-78.0427
Alleghany,Virginia,1,37.7788,-80.1069
Albemarle,Virginia,1,38.0006,-78.5618
Addison,Vermont,1,44.0288,-73.078
,Vermont,1,,
Weber,Utah,1,41.2554,-111.8947
Wayne,Utah,1,38.33,-110.9058
Washington,Utah,1,37.3071,-113.4764
Wasatch,Utah,1,40.2966,-111.135
Uintah,Utah,1,40.1698,-109.5135
Tooele,Utah,1,40.4924,-113.1134
Summit,Utah,1,40.9014,-110.7554
Sevier,Utah,1,38.7797,-111.7638
Sanpete,Utah,1,39.4342,-111.5243
San Juan,Utah,1,37.7516,-109.7449
Rich,Utah,1,41.5725,-111.2382
Piute,Utah,1,38.3283,-112.093
Morgan,Utah,1,41.0775,-111.6511
Millard,Utah,1,39.0955,-113.0316
Kane,Utah,1,37.2729,-111.8853
Juab,Utah,1,39.6657,-112.8826
Iron,Utah,1,37.8165,-113.3138
Grand,Utah,1,39.0017,-109.5967
Garfield,Utah,1,37.8459,-111.4965
Emery,Utah,1,39.1047,-110.7079
Duchesne,Utah,1,40.3319,-110.4366
Davis,Utah,1,40.9641,-112.0929
Daggett,Utah,1,40.8298,-109.6975
Carbon,Utah,1,39.641,-110.6021
Cache,Utah,1,41.6848,-111.7322
Box Elder,Utah,1,41.5026,-112.9735
Beaver,Utah,1,38.362,-113.2065
Zavala,Texas,1,28.8648,-99.7623
Young,Texas,1,33.1668,-98.6883
Wise,Texas,1,33.2115,-97.6555
Wilson,Texas,1,29.1652,-98.0851
Williamson,Texas,1,30.6541,-97.6352
Wilbarger,Texas,1,34.1523,-99.2142
Wichita,Texas,1,33.9973,-98.6882
Wharton,Texas,1,29.299,-96.221
Webb,Texas,1,27.7332,-99.288
Washington,Texas,1,30.2215,-96.4299
Waller,Texas,1,29.9884,-95.9999
Walker,Texas,1,30.795,-95.5934
Victoria,Texas,1,28.7954,-96.9415
Van Zandt,Texas,1,32.6033,-95.8351
Val Verde,Texas,1,29.7645,-101.0491
Uvalde,Texas,1,29.3551,-99.7622
Upton,Texas,1,31.369,-102.0443
Travis,Texas,1,30.3252,-97.7773
Tom Green,Texas,1,31.3893,-100.4023
Throckmorton,Texas,1,33.1541,-99.2122
Terrell,Texas,1,30.2125,-102.1628
Taylor,Texas,1,32.3045,-99.8901
Tarrant,Texas,1,32.7708,-97.2917
Sutton,Texas,1,30.4919,-100.5386
Stonewall,Texas,1,33.1802,-100.2535
Sterling,Texas,1,31.8222,-101.0451
Stephens,Texas,1,32.7377,-98.836
Somervell,Texas,1,32.2014,-97.7856
Shackelford,Texas,1,32.7367,-99.354
Scurry,Texas,1,32.7541,-100.9166
Schleicher,Texas,1,30.9013,-100.539
San Saba,Texas,1,31.2064,-98.8303
Runnels,Texas,1,31.839,-99.9766
Rockwall,Texas,1,32.8972,-96.4077
Robertson,Texas,1,31.0267,-96.5129
Real,Texas,1,29.853,-99.8126
Reagan,Texas,1,31.3693,-101.523
Parker,Texas,1,32.7816,-97.8046
Palo Pinto,Texas,1,32.7706,-98.3186
Nolan,Texas,1,32.3092,-100.4063
Navarro,Texas,1,32.0628,-96.4755
Motley,Texas,1,34.0728,-100.7798
Montgomery,Texas,1,30.3293,-95.5146
Montague,Texas,1,33.7131,-97.732
Mitchell,Texas,1,32.2991,-100.9214
Mills,Texas,1,31.4778,-98.6518
Milam,Texas,1,30.7849,-96.9758
Midland,Texas,1,31.8364,-102.0316
Menard,Texas,1,30.9164,-99.8004
Medina,Texas,1,29.4024,-99.1087
McMullen,Texas,1,28.3555,-98.5677
McLennan,Texas,1,31.5514,-97.2004
McCulloch,Texas,1,31.217,-99.3467
Maverick,Texas,1,28.6426,-100.2812
Mason,Texas,1,30.7183,-99.2239
Martin,Texas,1,32.299,-101.9515
Madison,Texas,1,30.9585,-95.9474
Lynn,Texas,1,33.179,-101.8167
Lubbock,Texas,1,33.6145,-101.8206
Llano,Texas,1,30.704,-98.6891
Live Oak,Texas,1,28.4249,-98.1422
Limestone,Texas,1,31.5165,-96.5516
Leon,Texas,1,31.3146,-95.9962
Lee,Texas,1,30.2949,-96.8887
Lavaca,Texas,1,29.3566,-96.8972
Lampasas,Texas,1,31.2393,-98.2864
La Salle,Texas,1,28.301,-99.0981
Knox,Texas,1,33.6159,-99.7337
Kinney,Texas,1,29.3544,-100.4105
King,Texas,1,33.6116,-100.2558
Kimble,Texas,1,30.4915,-99.7102
Kerr,Texas,1,30.0494,-99.3054
Kent,Texas,1,33.1797,-100.7781
Kendall,Texas,1,29.93,-98.6715
Kaufman,Texas,1,32.5982,-96.2991
Karnes,Texas,1,28.9476,-97.9006
Jones,Texas,1,32.7392,-99.8789
Johnson,Texas,1,32.3415,-97.3509
Jim Wells,Texas,1,27.659,-98.0873
Jackson,Texas,1,28.9696,-96.562
Jack,Texas,1,33.2355,-98.1705
Irion,Texas,1,31.3054,-100.9812
Howard,Texas,1,32.2992,-101.4356
Houston,Texas,1,31.26,-95.4349
Hood,Texas,1,32.3932,-97.8161
Hill,Texas,1,31.9888,-97.1227
Henderson,Texas,1,32.1827,-95.8182
Hays,Texas,1,30.065,-98.0268
Haskell,Texas,1,33.1786,-99.7307
Hardeman,Texas,1,34.315,-99.7365
Hamilton,Texas,1,31.7167,-98.0987
Guadalupe,Texas,1,29.6123,-97.9639
Grimes,Texas,1,30.5451,-95.9916
Grayson,Texas,1,33.6831,-96.662
Gonzales,Texas,1,29.4484,-97.5027
Goliad,Texas,1,28.6571,-97.4682
Glasscock,Texas,1,31.8477,-101.5209
Gillespie,Texas,1,30.3291,-98.9457
Garza,Texas,1,33.1798,-101.298
Frio,Texas,1,28.8624,-99.1075
Freestone,Texas,1,31.7139,-96.1581
Foard,Texas,1,33.9777,-99.7617
Floyd,Texas,1,34.069,-101.303
Fisher,Texas,1,32.7425,-100.4024
Fayette,Texas,1,29.8921,-96.9151
Falls,Texas,1,31.2537,-96.9393
Erath,Texas,1,32.214,-98.2274
Ellis,Texas,1,32.3014,-96.7619
Edwards,Texas,1,29.9663,-100.3478
Eastland,Texas,1,32.2936,-98.8015
Duval,Texas,1,27.6613,-98.5174
Dimmit,Texas,1,28.4132,-99.7548
Dickens,Texas,1,33.6166,-100.7789
DeWitt,Texas,1,29.0996,-97.3051
Denton,Texas,1,33.2078,-97.1156
Dawson,Texas,1,32.737,-101.9478
Dallas,Texas,1,32.7661,-96.7774
Crosby,Texas,1,33.6161,-101.3
Crockett,Texas,1,30.6879,-101.3732
Cottle,Texas,1,34.0712,-100.2829
Coryell,Texas,1,31.394,-97.8008
Cooke,Texas,1,33.6877,-97.2144
Concho,Texas,1,31.3218,-99.8577
Comanche,Texas,1,31.9702,-98.5993
Comal,Texas,1,29.8168,-98.2891
Colorado,Texas,1,29.6055,-96.5236
Collin,Texas,1,33.1929,-96.5676
Coleman,Texas,1,31.7432,-99.4612
Coke,Texas,1,31.8934,-100.5296
Clay,Texas,1,33.81,-98.2007
Callahan,Texas,1,32.2983,-99.3739
Caldwell,Texas,1,29.8519,-97.6266
Burnet,Texas,1,30.7338,-98.1859
Burleson,Texas,1,30.5133,-96.6354
Brown,Texas,1,31.7664,-98.958
Brazos,Texas,1,30.6529,-96.3806
Bosque,Texas,1,31.8982,-97.6486
Borden,Texas,1,32.7474,-101.4322
Blanco,Texas,1,30.2172,-98.4077
Bexar,Texas,1,29.4377,-98.4722
Bell,Texas,1,31.0402,-97.51
Bee,Texas,1,28.4248,-97.7101
Baylor,Texas,1,33.616,-99.2137
Bastrop,Texas,1,30.1035,-97.3242
Bandera,Texas,1,29.729,-99.2012
Austin,Texas,1,29.8495,-96.275
Atascosa,Texas,1,28.9347,-98.5218
Archer,Texas,1,33.6138,-98.6883
Anderson,Texas,1,31.7951,-95.6887
Ziebach,South Dakota,1,44.994,-101.7505
Yankton,South Dakota,1,42.9885,-97.3979
West Washabaugh,South Dakota,1,,
Walworth,South Dakota,1,45.4185,-100.0052
Union,South Dakota,1,42.7825,-96.7134
Turner,South Dakota,1,43.2823,-97.1623
Tripp,South Dakota,1,43.3729,-99.874
Todd,South Dakota,1,43.2001,-100.7209
Sully,South Dakota,1,44.7218,-100.1486
Stanley,South Dakota,1,44.4757,-100.8679
Spink,South Dakota,1,44.9383,-98.3497
Sanborn,South Dakota,1,44.0181,-98.0913
Roberts,South Dakota,1,45.6165,-97.0395
Potter,South Dakota,1,45.0726,-99.9482
Perkins,South Dakota,1,45.4847,-102.4752
Pennington,South Dakota,1,44.0997,-103.0311
Oglala Lakota,South Dakota,1,43.3559,-102.5556
Moody,South Dakota,1,44.0178,-96.671
Minnehaha,South Dakota,1,43.6819,-96.7914
Miner,South Dakota,1,44.0156,-97.6104
Mellette,South Dakota,1,43.6213,-100.7295
Meade,South Dakota,1,44.5827,-102.7842
McPherson,South Dakota,1,45.7725,-99.2213
McCook,South Dakota,1,43.6809,-97.368
Marshall,South Dakota,1,45.7472,-97.6034
Lyman,South Dakota,1,43.8596,-99.8372
Lincoln,South Dakota,1,43.2924,-96.7518
Lake,South Dakota,1,44.0162,-97.1294
Kingsbury,South Dakota,1,44.3874,-97.491
Jones,South Dakota,1,43.9467,-100.7155
Jerauld,South Dakota,1,44.0666,-98.6291
Jackson,South Dakota,1,43.6926,-101.6317
Hyde,South Dakota,1,44.538,-99.4821
Hutchinson,South Dakota,1,43.3148,-97.7556
Hughes,South Dakota,1,44.3239,-99.9126
Hanson,South Dakota,1,43.676,-97.7865
Hand,South Dakota,1,44.538,-99.0009
Hamlin,South Dakota,1,44.6668,-97.1884
Haakon,South Dakota,1,44.365,-101.5781
Gregory,South Dakota,1,43.2494,-99.2429
Grant,South Dakota,1,45.1518,-96.7912
Faulk,South Dakota,1,45.0748,-99.1452
Edmunds,South Dakota,1,45.3854,-99.2152
Douglas,South Dakota,1,43.3497,-98.3573
Dewey,South Dakota,1,45.1005,-100.9055
Deuel,South Dakota,1,44.7615,-96.668
